,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,gender,id
731,Pee Dee Steak House,40.79425972112027,4ae74368f964a520dda921e3,-73.94275415185164,Steakhouse,male,211492308
732,Pee Dee Steak House,40.79425972112027,4ae74368f964a520dda921e3,-73.94275415185164,Steakhouse,female,56539708
733,McDonald's,40.789984,4b9ad23ef964a52006d935e3,-73.946077,Burger Joint,male,4433691
734,McDonald's,40.789984,4b9ad23ef964a52006d935e3,-73.946077,Burger Joint,male,485876789
735,Ricardo Steak House,40.79343473959523,4ad90e1df964a520981721e3,-73.94047119574417,Steakhouse,female,15232488
736,Ricardo Steak House,40.79343473959523,4ad90e1df964a520981721e3,-73.94047119574417,Steakhouse,female,503114696
737,Burger King,40.79052514655719,4b5f535af964a52024b429e3,-73.94575461745262,Fast Food Restaurant,male,4433691
738,Burger King,40.79052514655719,4b5f535af964a52024b429e3,-73.94575461745262,Fast Food Restaurant,none,157040057
739,Fresh Burger,40.79266257537088,4f134a2ee4b0472046a4550e,-73.95003158743592,Burger Joint,male,50493432
740,Texas Chicken and Burgers,40.787779,58226dce56e6051e707108f4,-73.944594,Fast Food Restaurant,female,505833290
741,Burger One,40.77522981691669,4bed875a91380f478508a018,-73.9586854420627,Burger Joint,male,1491653
742,Burger One,40.77522981691669,4bed875a91380f478508a018,-73.9586854420627,Burger Joint,male,2550040
743,Burger One,40.77522981691669,4bed875a91380f478508a018,-73.9586854420627,Burger Joint,male,4978892
744,Eats,40.77232374284225,4db60dd04df05e5aaaff8c23,-73.96081599097909,Burger Joint,female,404569084
745,Eats,40.77232374284225,4db60dd04df05e5aaaff8c23,-73.96081599097909,Burger Joint,female,51628839
746,Eats,40.77232374284225,4db60dd04df05e5aaaff8c23,-73.96081599097909,Burger Joint,female,48585942
747,Luke's Bar & Grill,40.77450325305382,3fd66200f964a5204dea1ee3,-73.95722215905452,American Restaurant,male,16675568
748,Luke's Bar & Grill,40.77450325305382,3fd66200f964a5204dea1ee3,-73.95722215905452,American Restaurant,female,1389507
749,Luke's Bar & Grill,40.77450325305382,3fd66200f964a5204dea1ee3,-73.95722215905452,American Restaurant,none,419529746
750,Lexington Candy Shop Luncheonette,40.77763643640682,4a63938af964a5205ac51fe3,-73.95703015852048,Diner,male,1508393
751,Lexington Candy Shop Luncheonette,40.77763643640682,4a63938af964a5205ac51fe3,-73.95703015852048,Diner,male,142895
752,Lexington Candy Shop Luncheonette,40.77763643640682,4a63938af964a5205ac51fe3,-73.95703015852048,Diner,female,283246
753,Dylan Murphy's,40.77638543373941,4a18b5e7f964a520e0791fe3,-73.95576686149955,Burger Joint,male,405071073
754,Dylan Murphy's,40.77638543373941,4a18b5e7f964a520e0791fe3,-73.95576686149955,Burger Joint,male,77938453
